,PFE,,TSLA,,ENB,,SHOP,,SPY
6/9/2017,31.04,6/9/2017,71.46,6/9/2017,38.7,6/9/2017,91.45,6/9/2017,243.41
6/12/2017,30.98,6/12/2017,71.8,6/12/2017,38.23,6/12/2017,88.89,6/12/2017,243.36
6/13/2017,30.86,6/13/2017,75.19,6/13/2017,38.62,6/13/2017,86.93,6/13/2017,244.55
6/14/2017,30.97,6/14/2017,76.13,6/14/2017,37.66,6/14/2017,85.36,6/14/2017,244.24
6/15/2017,31.08,6/15/2017,75.07,6/15/2017,37.92,6/15/2017,85.48,6/15/2017,243.77
6/16/2017,31.23,6/16/2017,74.28,6/16/2017,38.89,6/16/2017,86.93,6/16/2017,242.64
6/19/2017,31.47,6/19/2017,73.96,6/19/2017,38.65,6/19/2017,90.56,6/19/2017,244.66
6/20/2017,31.79,6/20/2017,74.45,6/20/2017,37.74,6/20/2017,88.94,6/20/2017,243.01
6/21/2017,32.1,6/21/2017,75.28,6/21/2017,38.02,6/21/2017,91.25,6/21/2017,242.95
6/22/2017,32.27,6/22/2017,76.52,6/22/2017,39.02,6/22/2017,91.37,6/22/2017,242.84
6/23/2017,32.37,6/23/2017,76.69,6/23/2017,39.35,6/23/2017,94.48,6/23/2017,243.13
6/26/2017,32.25,6/26/2017,75.5,6/26/2017,39.59,6/26/2017,92.04,6/26/2017,243.29
6/27/2017,31.99,6/27/2017,72.47,6/27/2017,40.03,6/27/2017,87.04,6/27/2017,241.33
6/28/2017,31.97,6/28/2017,74.25,6/28/2017,40.36,6/28/2017,89.52,6/28/2017,243.49
6/29/2017,31.86,6/29/2017,72.15,6/29/2017,39.92,6/29/2017,86.4,6/29/2017,241.35
6/30/2017,31.82,6/30/2017,72.32,6/30/2017,39.81,6/30/2017,86.9,6/30/2017,241.8
7/3/2017,32.04,7/3/2017,70.52,7/3/2017,40.14,7/3/2017,86,7/3/2017,242.21
7/5/2017,31.87,7/5/2017,65.42,7/5/2017,39.58,7/5/2017,88.11,7/5/2017,242.77
7/6/2017,31.47,7/6/2017,61.77,7/6/2017,39.68,7/6/2017,86.21,7/6/2017,240.55
7/7/2017,31.59,7/7/2017,62.64,7/7/2017,39.81,7/7/2017,88.99,7/7/2017,242.11
7/10/2017,31.65,7/10/2017,63.21,7/10/2017,39.78,7/10/2017,90.99,7/10/2017,242.37
7/11/2017,31.42,7/11/2017,65.44,7/11/2017,39.47,7/11/2017,91.29,7/11/2017,242.19
7/12/2017,31.47,7/12/2017,65.9,7/12/2017,40.06,7/12/2017,94.68,7/12/2017,244.01
7/13/2017,31.53,7/13/2017,64.68,7/13/2017,40.11,7/13/2017,93.02,7/13/2017,244.42
7/14/2017,31.67,7/14/2017,65.56,7/14/2017,40.85,7/14/2017,92.41,7/14/2017,245.56
7/17/2017,31.5,7/17/2017,63.91,7/17/2017,40.66,7/17/2017,90.49,7/17/2017,245.53
7/18/2017,31.6,7/18/2017,65.65,7/18/2017,40.85,7/18/2017,93.18,7/18/2017,245.66
7/19/2017,31.85,7/19/2017,65.05,7/19/2017,41.55,7/19/2017,91.9,7/19/2017,246.99
7/20/2017,31.77,7/20/2017,65.98,7/20/2017,41.9,7/20/2017,90.87,7/20/2017,247.1
7/21/2017,31.72,7/21/2017,65.68,7/21/2017,41.81,7/21/2017,89.42,7/21/2017,246.88
7/24/2017,31.57,7/24/2017,68.5,7/24/2017,41.73,7/24/2017,93.61,7/24/2017,246.82
7/25/2017,31.36,7/25/2017,67.92,7/25/2017,41.69,7/25/2017,92.16,7/25/2017,247.42
7/26/2017,31.16,7/26/2017,68.77,7/26/2017,41.73,7/26/2017,93.92,7/26/2017,247.43
7/27/2017,31.26,7/27/2017,66.89,7/27/2017,41.13,7/27/2017,90.43,7/27/2017,247.2
7/28/2017,31.4,7/28/2017,67.01,7/28/2017,41.1,7/28/2017,92.98,7/28/2017,246.91
7/31/2017,31.41,7/31/2017,64.69,7/31/2017,41.46,7/31/2017,92.37,7/31/2017,246.77
8/1/2017,31.34,8/1/2017,63.91,8/1/2017,41.63,8/1/2017,104.08,8/1/2017,247.32
8/2/2017,31.19,8/2/2017,65.18,8/2/2017,41.8,8/2/2017,98.35,8/2/2017,247.44
8/3/2017,31.67,8/3/2017,69.42,8/3/2017,41.76,8/3/2017,97.16,8/3/2017,246.96
8/4/2017,31.87,8/4/2017,71.38,8/4/2017,41.53,8/4/2017,96.28,8/4/2017,247.41
8/7/2017,31.56,8/7/2017,71.03,8/7/2017,41.51,8/7/2017,97.79,8/7/2017,247.87
8/8/2017,31.53,8/8/2017,73.04,8/8/2017,40.83,8/8/2017,96.51,8/8/2017,247.26
8/9/2017,31.69,8/9/2017,72.71,8/9/2017,40.61,8/9/2017,95.19,8/9/2017,247.25
8/10/2017,31.66,8/10/2017,71.08,8/10/2017,39.9,8/10/2017,88.4,8/10/2017,243.76
8/11/2017,31.5,8/11/2017,71.57,8/11/2017,39.47,8/11/2017,91.71,8/11/2017,244.12
8/14/2017,31.56,8/14/2017,72.76,8/14/2017,39.8,8/14/2017,94.06,8/14/2017,246.54
8/15/2017,31.62,8/15/2017,72.47,8/15/2017,39.23,8/15/2017,93.15,8/15/2017,246.51
8/16/2017,31.6,8/16/2017,72.58,8/16/2017,39.17,8/16/2017,94.61,8/16/2017,246.94
8/17/2017,31.21,8/17/2017,70.38,8/17/2017,39.13,8/17/2017,93.5,8/17/2017,243.09
8/18/2017,30.95,8/18/2017,69.49,8/18/2017,39.42,8/18/2017,94.58,8/18/2017,242.71
8/21/2017,31.03,8/21/2017,67.57,8/21/2017,39.29,8/21/2017,96.27,8/21/2017,242.9
8/22/2017,31.4,8/22/2017,68.27,8/22/2017,39.91,8/22/2017,98.61,8/22/2017,245.44
8/23/2017,31.49,8/23/2017,70.55,8/23/2017,40.77,8/23/2017,102.46,8/23/2017,244.56
8/24/2017,31.48,8/24/2017,70.59,8/24/2017,40.88,8/24/2017,106.53,8/24/2017,243.99
8/25/2017,31.63,8/25/2017,69.61,8/25/2017,40.39,8/25/2017,103.74,8/25/2017,244.56
8/28/2017,31.71,8/28/2017,69.13,8/28/2017,39.9,8/28/2017,103.79,8/28/2017,244.57
8/29/2017,31.74,8/29/2017,69.47,8/29/2017,39.77,8/29/2017,104.37,8/29/2017,244.85
8/30/2017,31.69,8/30/2017,70.64,8/30/2017,39.5,8/30/2017,108.44,8/30/2017,246.01
8/31/2017,32.13,8/31/2017,71.18,8/31/2017,39.99,8/31/2017,110.92,8/31/2017,247.49
9/1/2017,32.17,9/1/2017,71.08,9/1/2017,40.45,9/1/2017,110.86,9/1/2017,247.84
9/5/2017,32.02,9/5/2017,69.92,9/5/2017,40.21,9/5/2017,110.67,9/5/2017,246.06
9/6/2017,32.2,9/6/2017,68.91,9/6/2017,40.81,9/6/2017,110.22,9/6/2017,246.9
9/7/2017,32.2,9/7/2017,70.12,9/7/2017,40.64,9/7/2017,113.46,9/7/2017,246.87
9/8/2017,32.3,9/8/2017,68.68,9/8/2017,40.52,9/8/2017,113.61,9/8/2017,246.58
9/11/2017,32.51,9/11/2017,72.74,9/11/2017,40.86,9/11/2017,117.99,9/11/2017,249.21
9/12/2017,33.51,9/12/2017,72.55,9/12/2017,40.96,9/12/2017,120.5,9/12/2017,250.05
9/13/2017,33.21,9/13/2017,73.25,9/13/2017,40.95,9/13/2017,119.21,9/13/2017,250.17
9/14/2017,33.85,9/14/2017,75.53,9/14/2017,41.14,9/14/2017,120.2,9/14/2017,250.09
9/15/2017,33.5,9/15/2017,75.96,9/15/2017,41.13,9/15/2017,120.26,9/15/2017,249.19
9/18/2017,33.68,9/18/2017,77,9/18/2017,40.96,9/18/2017,122.42,9/18/2017,249.72
9/19/2017,33.58,9/19/2017,75.02,9/19/2017,41.22,9/19/2017,122.94,9/19/2017,249.97
9/20/2017,34.09,9/20/2017,74.78,9/20/2017,41.31,9/20/2017,119.29,9/20/2017,250.06
9/21/2017,34.08,9/21/2017,73.3,9/21/2017,41.44,9/21/2017,120.15,9/21/2017,249.39
9/22/2017,34.07,9/22/2017,70.22,9/22/2017,41.04,9/22/2017,120.27,9/22/2017,249.44
9/25/2017,33.64,9/25/2017,69,9/25/2017,41.23,9/25/2017,114.47,9/25/2017,248.93
9/26/2017,33.44,9/26/2017,69.05,9/26/2017,41.22,9/26/2017,113.38,9/26/2017,249.08
9/27/2017,33.58,9/27/2017,68.19,9/27/2017,41.24,9/27/2017,117.4,9/27/2017,250.05
9/28/2017,33.73,9/28/2017,67.92,9/28/2017,41.53,9/28/2017,116.45,9/28/2017,250.35
9/29/2017,33.82,9/29/2017,68.22,9/29/2017,41.84,9/29/2017,116.49,9/29/2017,251.23
10/2/2017,34.17,10/2/2017,68.31,10/2/2017,41.75,10/2/2017,119,10/2/2017,252.32
10/3/2017,34.24,10/3/2017,69.63,10/3/2017,41.97,10/3/2017,116.81,10/3/2017,252.86
10/4/2017,34.07,10/4/2017,71,10/4/2017,41.81,10/4/2017,103.3,10/4/2017,253.16
10/5/2017,34.1,10/5/2017,71.07,10/5/2017,41.47,10/5/2017,100.43,10/5/2017,254.66
10/6/2017,34.15,10/6/2017,71.38,10/6/2017,41.32,10/6/2017,97.92,10/6/2017,254.37
10/9/2017,34.24,10/9/2017,68.59,10/9/2017,41.12,10/9/2017,97.38,10/9/2017,253.95
10/10/2017,34.48,10/10/2017,71.12,10/10/2017,41.36,10/10/2017,92.57,10/10/2017,254.62
10/11/2017,34.53,10/11/2017,70.92,10/11/2017,41.71,10/11/2017,95.02,10/11/2017,255.02
10/12/2017,34.44,10/12/2017,71.14,10/12/2017,41.49,10/12/2017,94.36,10/12/2017,254.64
10/13/2017,34.43,10/13/2017,71.11,10/13/2017,41.49,10/13/2017,94.22,10/13/2017,254.95
10/16/2017,34.09,10/16/2017,70.12,10/16/2017,41.51,10/16/2017,96.98,10/16/2017,255.29
10/17/2017,34.29,10/17/2017,71.15,10/17/2017,41.3,10/17/2017,96.21,10/17/2017,255.47
10/18/2017,33.94,10/18/2017,71.93,10/18/2017,40.46,10/18/2017,98.93,10/18/2017,255.72
10/19/2017,34.33,10/19/2017,70.36,10/19/2017,40.33,10/19/2017,98.25,10/19/2017,255.79
10/20/2017,34.5,10/20/2017,69.02,10/20/2017,39.31,10/20/2017,102.1,10/20/2017,257.11
10/23/2017,34.48,10/23/2017,67.4,10/23/2017,39.05,10/23/2017,102.91,10/23/2017,256.11
10/24/2017,34.36,10/24/2017,67.47,10/24/2017,38.86,10/24/2017,106.41,10/24/2017,256.56
10/25/2017,34.26,10/25/2017,65.17,10/25/2017,38.01,10/25/2017,102.99,10/25/2017,255.29
10/26/2017,33.86,10/26/2017,65.23,10/26/2017,37.96,10/26/2017,104.11,10/26/2017,255.62
10/27/2017,33.73,10/27/2017,64.17,10/27/2017,38.42,10/27/2017,107.27,10/27/2017,257.71
10/30/2017,33.3,10/30/2017,64.02,10/30/2017,38.58,10/30/2017,109.36,10/30/2017,256.75
10/31/2017,33.21,10/31/2017,66.31,10/31/2017,38.46,10/31/2017,99.49,10/31/2017,257.15
11/1/2017,33.4,11/1/2017,64.22,11/1/2017,38.32,11/1/2017,96.2,11/1/2017,257.49
11/2/2017,33.59,11/2/2017,59.85,11/2/2017,36.71,11/2/2017,99.89,11/2/2017,257.59
11/3/2017,33.68,11/3/2017,61.22,11/3/2017,36.69,11/3/2017,98.71,11/3/2017,258.45
11/6/2017,33.46,11/6/2017,60.56,11/6/2017,36.82,11/6/2017,99.84,11/6/2017,258.85
11/7/2017,33.5,11/7/2017,61.21,11/7/2017,36.71,11/7/2017,99.71,11/7/2017,258.67
11/8/2017,33.48,11/8/2017,60.88,11/8/2017,36.79,11/8/2017,99.4,11/8/2017,259.11
11/9/2017,33.35,11/9/2017,60.6,11/9/2017,36.64,11/9/2017,97.03,11/9/2017,258.17
11/10/2017,33.33,11/10/2017,60.6,11/10/2017,36.48,11/10/2017,100.01,11/10/2017,258.09
11/13/2017,33.44,11/13/2017,63.08,11/13/2017,36.22,11/13/2017,98.77,11/13/2017,258.33
11/14/2017,33.52,11/14/2017,61.74,11/14/2017,34.97,11/14/2017,98.97,11/14/2017,257.73
11/15/2017,33.5,11/15/2017,62.26,11/15/2017,34.52,11/15/2017,98.04,11/15/2017,256.44
11/16/2017,33.69,11/16/2017,62.5,11/16/2017,34.5,11/16/2017,103.89,11/16/2017,258.62
11/17/2017,33.51,11/17/2017,63.01,11/17/2017,35.16,11/17/2017,104.89,11/17/2017,257.86
11/20/2017,33.49,11/20/2017,61.75,11/20/2017,35.87,11/20/2017,108.56,11/20/2017,258.3
11/21/2017,33.67,11/21/2017,63.56,11/21/2017,36.8,11/21/2017,110.17,11/21/2017,259.99
11/22/2017,33.56,11/22/2017,62.52,11/22/2017,36.98,11/22/2017,110.41,11/22/2017,259.76
11/24/2017,33.62,11/24/2017,63.11,11/24/2017,37.16,11/24/2017,111.81,11/24/2017,260.36
11/27/2017,33.62,11/27/2017,63.36,11/27/2017,36.27,11/27/2017,113.36,11/27/2017,260.23
11/28/2017,33.96,11/28/2017,63.51,11/28/2017,36.26,11/28/2017,112.09,11/28/2017,262.87
11/29/2017,34.3,11/29/2017,61.51,11/29/2017,35.63,11/29/2017,103.67,11/29/2017,262.71
11/30/2017,34.35,11/30/2017,61.77,11/30/2017,37.71,11/30/2017,103.82,11/30/2017,265.01
12/1/2017,34.44,12/1/2017,61.31,12/1/2017,38.29,12/1/2017,103.27,12/1/2017,264.46
12/4/2017,34.16,12/4/2017,61.04,12/4/2017,38.31,12/4/2017,96.62,12/4/2017,264.14
12/5/2017,33.75,12/5/2017,60.74,12/5/2017,38.39,12/5/2017,95.28,12/5/2017,263.19
12/6/2017,33.69,12/6/2017,62.65,12/6/2017,38.14,12/6/2017,95.77,12/6/2017,263.24
12/7/2017,33.63,12/7/2017,62.25,12/7/2017,38.45,12/7/2017,99.79,12/7/2017,264.07
12/8/2017,33.86,12/8/2017,63.03,12/8/2017,38.34,12/8/2017,100.77,12/8/2017,265.51
12/11/2017,34.3,12/11/2017,65.78,12/11/2017,38.55,12/11/2017,104.11,12/11/2017,266.31
12/12/2017,34.65,12/12/2017,68.21,12/12/2017,38.37,12/12/2017,101.4,12/12/2017,266.78
12/13/2017,34.71,12/13/2017,67.81,12/13/2017,38.64,12/13/2017,103.21,12/13/2017,266.75
12/14/2017,34.54,12/14/2017,67.58,12/14/2017,38.67,12/14/2017,103.23,12/14/2017,265.66
12/15/2017,35.24,12/15/2017,68.69,12/15/2017,38.72,12/15/2017,105.22,12/15/2017,266.51
12/18/2017,35.17,12/18/2017,67.77,12/18/2017,39.07,12/18/2017,107.62,12/18/2017,268.2
12/19/2017,34.99,12/19/2017,66.22,12/19/2017,38.83,12/19/2017,105.73,12/19/2017,267.17
12/20/2017,34.54,12/20/2017,65.8,12/20/2017,38.53,12/20/2017,105.24,12/20/2017,267.03
12/21/2017,34.33,12/21/2017,66.33,12/21/2017,38.66,12/21/2017,104.8,12/21/2017,267.58
12/22/2017,34.24,12/22/2017,65.04,12/22/2017,38.63,12/22/2017,103.86,12/22/2017,267.51
12/26/2017,34.3,12/26/2017,63.46,12/26/2017,38.8,12/26/2017,104.84,12/26/2017,267.19
12/27/2017,34.42,12/27/2017,62.33,12/27/2017,38.9,12/27/2017,104.5,12/27/2017,267.32
12/28/2017,34.45,12/28/2017,63.07,12/28/2017,39.21,12/28/2017,102.39,12/28/2017,267.87
12/29/2017,34.31,12/29/2017,62.27,12/29/2017,39.11,12/29/2017,101,12/29/2017,266.86
1/2/2018,34.52,1/2/2018,64.11,1/2/2018,40.14,1/2/2018,105.49,1/2/2018,268.77
1/3/2018,34.78,1/3/2018,63.45,1/3/2018,40.41,1/3/2018,107.75,1/3/2018,270.47
1/4/2018,34.85,1/4/2018,62.92,1/4/2018,40.77,1/4/2018,109.95,1/4/2018,271.61
1/5/2018,34.92,1/5/2018,63.32,1/5/2018,40.74,1/5/2018,110.58,1/5/2018,273.42
1/8/2018,34.53,1/8/2018,67.28,1/8/2018,40.73,1/8/2018,112.35,1/8/2018,273.92
1/9/2018,34.49,1/9/2018,66.74,1/9/2018,40.24,1/9/2018,110.73,1/9/2018,274.54
1/10/2018,34.55,1/10/2018,66.96,1/10/2018,39.16,1/10/2018,111,1/10/2018,274.12
1/11/2018,34.63,1/11/2018,67.59,1/11/2018,39.49,1/11/2018,111.13,1/11/2018,276.12
1/12/2018,34.62,1/12/2018,67.24,1/12/2018,39.74,1/12/2018,112.8,1/12/2018,277.92
1/16/2018,34.67,1/16/2018,68.01,1/16/2018,39.78,1/16/2018,111.92,1/16/2018,276.97
1/17/2018,35.22,1/17/2018,69.43,1/17/2018,39.81,1/17/2018,114.91,1/17/2018,279.61
1/18/2018,35.04,1/18/2018,68.91,1/18/2018,39.72,1/18/2018,114.8,1/18/2018,279.14
1/19/2018,34.99,1/19/2018,70,1/19/2018,39.39,1/19/2018,115.48,1/19/2018,280.41
1/22/2018,34.99,1/22/2018,70.31,1/22/2018,39.64,1/22/2018,119.43,1/22/2018,282.69
1/23/2018,34.88,1/23/2018,70.56,1/23/2018,39.49,1/23/2018,118.69,1/23/2018,283.29
1/24/2018,34.99,1/24/2018,69.18,1/24/2018,39.5,1/24/2018,119.67,1/24/2018,283.18
1/25/2018,35.27,1/25/2018,67.53,1/25/2018,38.62,1/25/2018,124.9,1/25/2018,283.3
1/26/2018,36.96,1/26/2018,68.57,1/26/2018,38.19,1/26/2018,129.07,1/26/2018,286.58
1/29/2018,36.96,1/29/2018,69.91,1/29/2018,37.58,1/29/2018,127.3,1/29/2018,284.68
1/30/2018,35.81,1/30/2018,69.16,1/30/2018,36.81,1/30/2018,124.21,1/30/2018,281.76
1/31/2018,35.09,1/31/2018,70.86,1/31/2018,36.63,1/31/2018,127.92,1/31/2018,281.9
2/1/2018,34.89,2/1/2018,69.85,2/1/2018,35.86,2/1/2018,126.28,2/1/2018,281.58
2/2/2018,34.68,2/2/2018,68.75,2/2/2018,34.7,2/2/2018,125.12,2/2/2018,275.45
2/5/2018,32.84,2/5/2018,66.63,2/5/2018,34.37,2/5/2018,118.3,2/5/2018,263.93
2/6/2018,33.42,2/6/2018,66.79,2/6/2018,35.04,2/6/2018,122.14,2/6/2018,269.13
2/7/2018,33.14,2/7/2018,69,2/7/2018,35.16,2/7/2018,123.34,2/7/2018,267.67
2/8/2018,31.86,2/8/2018,63.05,2/8/2018,34.34,2/8/2018,118.51,2/8/2018,257.63
2/9/2018,32.36,2/9/2018,62.08,2/9/2018,34.02,2/9/2018,119.55,2/9/2018,261.5
2/12/2018,32.83,2/12/2018,63.15,2/12/2018,34.73,2/12/2018,127.94,2/12/2018,265.34
2/13/2018,33.1,2/13/2018,64.73,2/13/2018,35.03,2/13/2018,126.06,2/13/2018,266
2/14/2018,33.34,2/14/2018,64.46,2/14/2018,34.3,2/14/2018,137.56,2/14/2018,269.59
2/15/2018,33.83,2/15/2018,66.81,2/15/2018,34.55,2/15/2018,137.95,2/15/2018,273.03
2/16/2018,34.35,2/16/2018,67.1,2/16/2018,34.27,2/16/2018,137.53,2/16/2018,273.11
2/20/2018,34.11,2/20/2018,66.95,2/20/2018,34.08,2/20/2018,142.78,2/20/2018,271.4
2/21/2018,33.88,2/21/2018,66.66,2/21/2018,34.11,2/21/2018,132.9,2/21/2018,270.05
2/22/2018,33.86,2/22/2018,69.23,2/22/2018,33.48,2/22/2018,134.18,2/22/2018,270.4
2/23/2018,34.35,2/23/2018,70.41,2/23/2018,33.76,2/23/2018,137,2/23/2018,274.71
2/26/2018,35.14,2/26/2018,71.48,2/26/2018,33.92,2/26/2018,136.27,2/26/2018,277.9
2/27/2018,34.86,2/27/2018,70.2,2/27/2018,32.99,2/27/2018,137.66,2/27/2018,274.43
2/28/2018,34.4,2/28/2018,68.61,2/28/2018,31.82,2/28/2018,138.21,2/28/2018,271.65
3/1/2018,33.75,3/1/2018,66.19,3/1/2018,31.81,3/1/2018,136.85,3/1/2018,267.7
3/2/2018,34.06,3/2/2018,67.02,3/2/2018,31.48,3/2/2018,136.75,3/2/2018,269.08
3/5/2018,34.22,3/5/2018,66.67,3/5/2018,31.57,3/5/2018,139.29,3/5/2018,272.19
3/6/2018,33.99,3/6/2018,65.64,3/6/2018,31.77,3/6/2018,141.51,3/6/2018,272.88
3/7/2018,34.04,3/7/2018,66.46,3/7/2018,31.43,3/7/2018,143.68,3/7/2018,272.78
3/8/2018,34.58,3/8/2018,65.82,3/8/2018,31.88,3/8/2018,147.41,3/8/2018,274.1
3/9/2018,34.83,3/9/2018,65.43,3/9/2018,32.01,3/9/2018,149.16,3/9/2018,278.87
3/12/2018,34.68,3/12/2018,69.1,3/12/2018,32.66,3/12/2018,148.15,3/12/2018,278.52
3/13/2018,34.81,3/13/2018,68.37,3/13/2018,32.89,3/13/2018,145.32,3/13/2018,276.72
3/14/2018,34.44,3/14/2018,65.33,3/14/2018,33.09,3/14/2018,146.25,3/14/2018,275.3
3/15/2018,34.65,3/15/2018,65.12,3/15/2018,31.46,3/15/2018,147.41,3/15/2018,275
3/16/2018,34.84,3/16/2018,64.27,3/16/2018,31.54,3/16/2018,147.22,3/16/2018,274.2
3/19/2018,34.42,3/19/2018,62.71,3/19/2018,30.7,3/19/2018,145.62,3/19/2018,270.49
3/20/2018,34.42,3/20/2018,62.11,3/20/2018,29.93,3/20/2018,153.11,3/20/2018,270.95
3/21/2018,34.36,3/21/2018,63.31,3/21/2018,31.13,3/21/2018,149.4,3/21/2018,270.43
3/22/2018,33.73,3/22/2018,61.82,3/22/2018,30.63,3/22/2018,145.45,3/22/2018,263.67
3/23/2018,32.67,3/23/2018,60.31,3/23/2018,29.91,3/23/2018,141.66,3/23/2018,258.05
3/26/2018,33.19,3/26/2018,60.84,3/26/2018,29.95,3/26/2018,136.72,3/26/2018,265.11
3/27/2018,33.17,3/27/2018,55.84,3/27/2018,30.44,3/27/2018,128.82,3/27/2018,260.6
3/28/2018,33.44,3/28/2018,51.56,3/28/2018,30.36,3/28/2018,121.6,3/28/2018,259.83
3/29/2018,33.62,3/29/2018,53.23,3/29/2018,31.47,3/29/2018,124.59,3/29/2018,263.15
4/2/2018,33.2,4/2/2018,50.5,4/2/2018,30.59,4/2/2018,122.08,4/2/2018,257.47
4/3/2018,33.8,4/3/2018,53.51,4/3/2018,30.31,4/3/2018,119.37,4/3/2018,260.77
4/4/2018,34.23,4/4/2018,57.39,4/4/2018,30.89,4/4/2018,120.67,4/4/2018,263.56
4/5/2018,33.85,4/5/2018,61.14,4/5/2018,31.49,4/5/2018,120.14,4/5/2018,265.64
4/6/2018,33.32,4/6/2018,59.86,4/6/2018,31.23,4/6/2018,117.42,4/6/2018,259.72
4/9/2018,33.59,4/9/2018,57.93,4/9/2018,31.62,4/9/2018,118.95,4/9/2018,261
4/10/2018,34.06,4/10/2018,60.94,4/10/2018,32.09,4/10/2018,122.87,4/10/2018,265.15
4/11/2018,33.91,4/11/2018,60.19,4/11/2018,31.9,4/11/2018,119.53,4/11/2018,263.76
4/12/2018,34.41,4/12/2018,58.82,4/12/2018,31.95,4/12/2018,120.75,4/12/2018,265.93
4/13/2018,34.41,4/13/2018,60.07,4/13/2018,32.06,4/13/2018,117.51,4/13/2018,265.15
4/16/2018,34.61,4/16/2018,58.24,4/16/2018,32.59,4/16/2018,116.94,4/16/2018,267.33
4/17/2018,34.42,4/17/2018,58.24,4/17/2018,32.98,4/17/2018,125.96,4/17/2018,270.19
4/18/2018,34.57,4/18/2018,58.67,4/18/2018,33.1,4/18/2018,127.56,4/18/2018,270.39
4/19/2018,34.61,4/19/2018,60.02,4/19/2018,31.98,4/19/2018,126.67,4/19/2018,268.89
4/20/2018,34.7,4/20/2018,58.05,4/20/2018,31.21,4/20/2018,126.79,4/20/2018,266.61
4/23/2018,34.86,4/23/2018,56.67,4/23/2018,31.01,4/23/2018,122.91,4/23/2018,266.57
4/24/2018,35.11,4/24/2018,56.69,4/24/2018,29.39,4/24/2018,123.14,4/24/2018,262.98
4/25/2018,34.75,4/25/2018,56.14,4/25/2018,29.27,4/25/2018,120.02,4/25/2018,263.63
4/26/2018,34.91,4/26/2018,57.1,4/26/2018,29.42,4/26/2018,124.15,4/26/2018,266.31
4/27/2018,35.05,4/27/2018,58.82,4/27/2018,29.8,4/27/2018,126.62,4/27/2018,266.56
4/30/2018,34.68,4/30/2018,58.78,4/30/2018,30.27,4/30/2018,133.63,4/30/2018,264.51
